,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,1.504,1.493,1.488,1.493,2.014,1.986,1.979,1.963,1.995,1.942,1.938
11,1.471,1.449,1.457,1.5,1.99,2.007,2.016,2.0,1.996,1.981,1.977
12,1.489,1.482,1.494,1.484,1.973,1.993,1.989,2.002,2.026,2.024,2.02
13,1.511,1.51,1.506,1.506,1.964,1.948,1.951,1.968,1.978,1.981,2.002
14,1.486,1.482,1.511,1.502,1.973,1.96,1.976,2.001,2.002,2.019,1.98
15,1.479,1.516,1.5,1.498,1.99,1.98,1.997,1.969,1.999,1.977,1.985
16,1.496,1.499,1.496,1.486,2.02,2.039,2.007,2.01,1.975,1.99,1.953
17,1.478,1.484,1.503,1.469,1.958,1.978,2.01,1.99,1.983,1.999,2.003
18,1.487,1.489,1.479,1.48,1.97,1.974,1.991,2.014,1.983,1.969,2.005
19,1.495,1.505,1.479,1.479,1.996,1.982,1.994,1.982,1.993,2.021,1.988
20,1.496,1.497,1.525,1.51,2.017,2.02,2.055,2.013,1.989,1.979,1.984
21,1.485,1.503,1.507,1.499,1.995,1.99,2.033,2.001,1.981,1.975,2.028
22,1.512,1.491,1.485,1.508,2.003,2.009,2.022,1.963,1.975,2.019,1.998
23,1.502,1.486,1.489,1.49,1.942,1.978,2.005,2.009,2.016,1.976,1.972
24,1.506,1.495,1.502,1.49,1.975,1.991,1.997,2.005,1.983,1.956,1.944
25,1.485,1.495,1.501,1.997,1.977,1.948,1.976,2.044,1.95,1.965,1.995
26,1.507,1.466,1.923,1.995,1.972,1.969,2.013,1.986,1.994,2.04,2.0
27,1.482,1.979,1.998,2.01,1.974,1.949,1.94,1.975,1.98,1.997,1.998
28,2.003,2.002,2.006,2.014,2.024,2.0,1.998,1.993,1.999,2.009,2.042
29,1.994,1.962,1.945,1.957,1.952,1.985,1.961,1.939,1.939,1.935,2.031
30,2.034,1.995,1.993,1.998,2.003,2.009,2.02,1.989,1.979,1.976,1.973
31,1.94,1.973,1.962,2.015,2.018,1.92,1.89,2.034,2.002,1.991,1.961
32,2.036,2.037,2.01,2.015,2.002,1.966,1.979,1.989,1.941,1.938,1.984
